Species,Trait
Saccharina_latissima,Y
Saccharina_japonica,N
Agarum_clathratum,Y
Laminaria_digitata,Y
Ectocarpus_siliculosus,N
Ectocarpus_crouaniorum,Y
Ectocarpus_fasciculatus,Y
Ectocarpus_subulatus,N
Punctaria_plantaginea,N
Punctaria_latifolia,N
Striaria_attenuata,N
Stilophora_tenella,N
Cladosiphon_okamuranus,U
Colpomenia_sinuosa,N
Scytosiphon_lomentaria,N
Colpomenia_peregrina,N
Pylaiella_littoralis,Y
Saccorhiza_polyschides,Y
Fucus_spiralis,Y
Ascophyllum_nodosum,N
Sargassum_fusiforme,N
Sargassum_ringgoldianum,N
Sargassum_vulgare,Y
Cystoseira_tamariscifolia,Y
Halopteris_filicina,N
Canistrocarpus_cervicornis,N
Dictyota_dichotoma,N
Padina_pavonica,Y
Chondrus_crispus,Y
